BNP.PA,FP.PA,MC.PA,ML.PA,SAN.PA
42.10969924926758,36.849998474121094,83.4000015258789,30.62980079650879,39.689998626708984
41.26850128173828,36.125,83.4000015258789,30.822999954223633,38.0
41.31800079345703,36.5,88.83999633789062,30.881000518798828,39.70000076293945
41.614898681640625,36.349998474121094,87.0,31.934200286865234,39.79999923706055
42.40660095214844,37.45000076293945,87.0999984741211,33.4995002746582,42.0
42.06019973754883,36.525001525878906,86.19999694824219,33.30630111694336,39.75
41.862300872802734,36.150001525878906,83.18000030517578,33.43190002441406,39.099998474121094
41.812801361083984,36.900001525878906,81.19999694824219,33.625099182128906,40.400001525878906
41.71379852294922,36.17499923706055,81.80000305175781,34.02130126953125,41.0
41.31800079345703,35.625,81.5,34.204898834228516,39.9900016784668
41.31800079345703,35.17499923706055,85.5999984741211,33.644500732421875,39.25
41.862300872802734,34.67499923706055,86.19999694824219,33.0453987121582,39.189998626708984
41.565399169921875,35.75,86.27999877929688,32.68790054321289,38.88999938964844
41.36750030517578,37.0,86.44000244140625,32.56230163574219,39.16999816894531
41.36750030517578,38.5,84.0,32.85210037231445,38.54999923706055
40.82320022583008,39.400001525878906,87.44000244140625,32.311100006103516,39.849998474121094
41.466400146484375,38.82500076293945,86.19999694824219,32.079200744628906,39.650001525878906
44.880699157714844,41.75,88.0,34.30149841308594,40.2400016784668
43.594200134277344,40.0,86.19999694824219,33.27730178833008,40.36000061035156
43.94060134887695,40.57500076293945,86.23999786376953,33.229000091552734,40.0
43.39630126953125,39.625,86.4000015258789,33.20000076293945,40.130001068115234
44.03950119018555,37.775001525878906,85.5999984741211,32.86180114746094,41.70000076293945
44.979698181152344,38.375,85.76000213623047,35.02619934082031,39.369998931884766
44.33639907836914,39.099998474121094,86.80000305175781,35.84749984741211,42.0
45.52399826049805,39.974998474121094,86.5,36.13740158081055,42.95000076293945
45.3754997253418,39.125,86.5,36.50450134277344,41.900001525878906
43.594200134277344,38.349998474121094,85.95999908447266,35.75090026855469,41.70000076293945
43.643699645996094,39.0,86.04000091552734,36.12770080566406,40.52000045776367
43.247798919677734,38.125,85.30000305175781,35.75090026855469,43.0
43.297298431396484,38.525001525878906,87.80000305175781,35.75090026855469,44.79999923706055
42.520301818847656,38.525001525878906,87.80000305175781,35.75090026855469,44.79999923706055
42.520301818847656,38.525001525878906,87.80000305175781,35.75090026855469,44.79999923706055
44.930198669433594,40.07500076293945,89.69999694824219,35.963401794433594,44.0
44.979698181152344,40.95000076293945,95.19999694824219,36.910400390625,41.099998474121094
44.23740005493164,40.625,90.80000305175781,36.485198974609375,40.70000076293945
43.9900016784668,41.724998474121094,92.31999969482422,36.185699462890625,41.04999923706055
43.200599670410156,41.724998474121094,92.31999969482422,35.2677001953125,41.04999923706055
44.484901428222656,41.625,94.16000366210938,35.67359924316406,42.2400016784668
44.28689956665039,40.0,91.5999984741211,35.94409942626953,42.5
44.28689956665039,41.125,91.91999816894531,36.42720031738281,43.0099983215332
44.1879997253418,40.375,91.5199966430664,36.62049865722656,42.95000076293945
44.1879997253418,40.875,90.4000015258789,36.572200775146484,43.290000915527344
44.43539810180664,41.0,90.4000015258789,36.417598724365234,43.5
45.22710037231445,41.79999923706055,90.68000030517578,36.910400390625,43.900001525878906
46.71160125732422,41.75,90.19999694824219,37.132598876953125,45.06999969482422
47.552799224853516,42.224998474121094,92.23999786376953,37.200199127197266,43.5
47.503299713134766,41.5,91.44000244140625,36.81370162963867,44.0
48.88880157470703,42.125,94.58000183105469,36.81370162963867,44.29999923706055
48.34450149536133,41.67499923706055,94.62000274658203,37.103599548339844,44.0
47.552799224853516,43.275001525878906,93.86000061035156,37.055301666259766,44.79999923706055
47.602298736572266,42.099998474121094,90.4000015258789,36.62049865722656,43.5
46.90950012207031,41.875,89.19999694824219,36.81370162963867,45.25
46.95899963378906,41.17499923706055,89.81999969482422,37.15190124511719,45.0
46.71160125732422,39.150001525878906,89.4000015258789,37.200199127197266,46.75
47.503299713134766,39.849998474121094,89.4000015258789,36.47549819946289,45.0
46.216800689697266,39.125,89.5199966430664,35.65420150756836,45.349998474121094
47.20640182495117,39.849998474121094,89.05999755859375,35.77989959716797,46.189998626708984
47.30540084838867,40.375,87.95999908447266,35.31610107421875,45.88999938964844
47.899200439453125,42.224998474121094,87.44000244140625,34.30149841308594,46.75
48.39400100708008,41.92499923706055,87.9000015258789,34.977901458740234,45.72999954223633
48.839298248291016,41.04999923706055,90.5999984741211,34.78459930419922,45.45000076293945
49.68050003051758,40.849998474121094,90.4000015258789,34.7943000793457,44.5
49.185699462890625,41.17499923706055,90.0,34.67829895019531,44.0
49.631099700927734,41.04999923706055,90.58000183105469,34.49480056762695,43.0
49.136199951171875,40.400001525878906,88.0,34.78459930419922,42.56999969482422
48.98780059814453,40.275001525878906,87.94000244140625,34.398101806640625,43.779998779296875
48.108699798583984,40.275001525878906,87.94000244140625,34.398101806640625,43.779998779296875
49.08679962158203,41.150001525878906,87.0999984741211,33.480201721191406,44.689998626708984
50.52170181274414,40.70000076293945,87.12000274658203,33.43190002441406,45.0
50.27429962158203,39.75,86.87999725341797,33.38359832763672,43.95000076293945
48.59189987182617,40.25,85.9000015258789,32.47529983520508,45.58000183105469
48.93830108642578,40.775001525878906,85.9000015258789,31.644399642944336,46.400001525878906
48.88880157470703,40.349998474121094,85.16000366210938,31.837600708007812,47.29999923706055
48.24549865722656,40.349998474121094,85.0,30.948699951171875,46.849998474121094
47.899200439453125,41.625,86.9800033569336,30.803699493408203,46.5
47.65169906616211,41.25,89.5,31.00659942626953,48.290000915527344
48.24549865722656,40.75,90.95999908447266,32.426998138427734,48.5
47.05799865722656,40.875,90.36000061035156,33.33530044555664,49.849998474121094
49.482601165771484,41.0,90.87999725341797,33.34489822387695,52.0
50.22480010986328,40.025001525878906,89.19999694824219,32.15639877319336,49.5
49.878501892089844,40.150001525878906,86.37999725341797,32.47529983520508,49.900001525878906
50.967098236083984,41.224998474121094,87.1500015258789,33.625099182128906,51.0
50.57120132446289,41.474998474121094,85.94999694824219,33.33530044555664,50.20000076293945
51.41239929199219,40.0,86.80000305175781,33.80870056152344,50.04999923706055
51.95669937133789,39.875,86.4000015258789,34.6879997253418,48.29999923706055
52.154701232910156,40.125,88.19999694824219,35.46099853515625,50.150001525878906
52.9463996887207,40.5,87.9000015258789,35.75090026855469,50.29999923706055
52.402099609375,41.125,89.69999694824219,35.94409942626953,50.5
51.263999938964844,40.900001525878906,89.8499984741211,35.58660125732422,50.20000076293945
49.97740173339844,41.29999923706055,89.80000305175781,35.75090026855469,48.75
49.08060073852539,41.29999923706055,89.80000305175781,35.75090026855469,48.75
50.71969985961914,40.70000076293945,91.0,35.6348991394043,48.0
50.67020034790039,40.775001525878906,89.69999694824219,35.93439865112305,50.20000076293945
51.06610107421875,40.17499923706055,88.75,36.0890998840332,49.25
51.6598014831543,40.625,91.5999984741211,35.71220016479492,52.650001525878906
50.62070083618164,39.125,91.0,36.04069900512695,52.04999923706055
50.57120132446289,39.75,91.5,35.89580154418945,52.400001525878906
51.263999938964844,38.75,92.0,36.13740158081055,53.5
51.70930099487305,39.025001525878906,91.80000305175781,35.992401123046875,54.400001525878906
51.5609016418457,39.54999923706055,94.8499984741211,32.765201568603516,55.04999923706055
52.05569839477539,39.525001525878906,92.3499984741211,32.050201416015625,57.20000076293945
52.69900131225586,39.974998474121094,93.8499984741211,31.20949935913086,57.54999923706055
52.550498962402344,39.275001525878906,94.80000305175781,31.25790023803711,58.599998474121094
53.441200256347656,39.45000076293945,96.0,31.27720069885254,56.75
51.115501403808594,40.275001525878906,93.5999984741211,30.822999954223633,54.70000076293945
52.550498962402344,40.724998474121094,92.94999694824219,30.68779945373535,55.5
52.500999450683594,41.29999923706055,94.5999984741211,31.199899673461914,57.5
53.441200256347656,41.400001525878906,96.5,30.533199310302734,58.0
53.441200256347656,41.724998474121094,96.19999694824219,30.581499099731445,57.04999923706055
52.402099609375,41.75,96.44999694824219,31.016300201416016,57.45000076293945
52.402099609375,42.54999923706055,95.55000305175781,31.064599990844727,56.5
52.79790115356445,42.125,95.69999694824219,31.30620002746582,55.0
53.09479904174805,43.42499923706055,95.19999694824219,31.57670021057129,55.0
54.08449935913086,43.25,96.0999984741211,32.36899948120117,55.400001525878906
53.589698791503906,43.625,94.5,32.65890121459961,54.54999923706055
53.34230041503906,44.29999923706055,92.5999984741211,32.86180114746094,53.75
53.837100982666016,44.20000076293945,89.75,33.30630111694336,54.900001525878906
54.18349838256836,43.375,89.5999984741211,33.528499603271484,57.20000076293945
53.93600082397461,44.25,90.0,32.35940170288086,55.900001525878906
53.540199279785156,43.0,89.5,32.36899948120117,55.75
53.19380187988281,43.099998474121094,91.44999694824219,32.85210037231445,58.70000076293945
52.89690017700195,42.82500076293945,90.6500015258789,34.011600494384766,57.5
52.8474006652832,43.5,90.19999694824219,33.50920104980469,58.0
51.90729904174805,43.400001525878906,88.4000015258789,33.09370040893555,57.150001525878906
